Date,AAPL,GLD,GOOGL,JNJ,JPM,MSFT,NVDA,PG,QQQ,SPY,TLT,TSLA,VNQ,WMT,XOM
2020-04-01,58.21010208129883,149.4499969482422,54.653289794921875,108.91117095947266,71.26599884033203,144.49034118652344,6.053018569946289,93.33722686767578,176.070068359375,226.271240234375,139.31410217285156,32.104000091552734,51.859378814697266,34.97950744628906,28.622159957885742
2020-04-02,59.18142318725586,151.89999389648438,55.393672943115234,112.58074188232422,73.92707824707031,147.4824676513672,6.361806869506836,97.66557312011719,179.6433868408203,231.4925994873047,140.1981201171875,30.29800033569336,52.03420639038086,36.361656188964844,30.810958862304688
2020-04-03,58.330909729003906,152.64999389648438,54.18714141845703,113.44316101074219,71.7419662475586,146.12416076660156,6.0739359855651855,98.24612426757812,177.0937957763672,228.1465301513672,140.53173828125,32.000667572021484,51.279273986816406,36.616024017333984,29.90340232849121
2020-04-06,63.419551849365234,156.8800048828125,58.674560546875,118.1695556640625,76.3597412109375,156.99105834960938,6.683794975280762,100.57676696777344,189.75503540039062,243.47027587890625,140.1647491455078,34.41600036621094,55.07773971557617,38.63560104370117,30.864341735839844
2020-04-07,62.685020446777344,156.0399932861328,58.643310546875,116.24180603027344,77.366943359375,155.3002471923828,6.450458526611328,96.2740249633789,189.67779541015625,243.7184600830078,138.69696044921875,36.36333465576172,55.586334228515625,37.38523864746094,31.451570510864258
2020-04-08,64.2894058227539,154.64999389648438,59.85529327392578,121.12889862060547,80.49097442626953,156.8581085205078,6.647686004638672,98.26317596435547,193.70506286621094,251.8997344970703,137.687744140625,36.589332580566406,59.3768424987793,37.339271545410156,33.44208526611328
2020-04-09,64.7533187866211,158.69000244140625,59.83396911621094,119.41252136230469,87.71212768554688,156.86758422851562,6.548076152801514,97.88756561279297,193.98513793945312,255.73292541503906,137.93798828125,38.20000076293945,62.706459045410156,37.32700729370117,32.89297866821289
2020-04-13,66.0242919921875,161.41000366210938,60.02439498901367,118.17806243896484,83.81135559082031,157.21902465820312,6.719902038574219,98.98883056640625,196.0809326171875,253.3980712890625,136.67861938476562,43.39666748046875,60.06819534301758,38.399620056152344,32.61079788208008
2020-04-14,69.35871124267578,162.67999267578125,62.74293518066406,123.47097778320312,81.51524353027344,164.99879455566406,7.071025371551514,103.26600646972656,204.608642578125,260.87158203125,136.64523315429688,47.32600021362305,61.75286102294922,39.53351974487305,32.359127044677734
2020-04-15,68.72566223144531,161.85000610351562,62.34968185424805,124.84921264648438,77.49498748779297,163.2699737548828,6.993579387664795,103.48794555664062,202.26182556152344,255.3284912109375,140.26486206054688,48.65533447265625,59.305328369140625,39.459983825683594,30.871963500976562
2020-04-16,69.2717514038086,161.7100067138672,62.35612487792969,126.54867553710938,74.5416488647461,168.1714630126953,7.338726043701172,103.72698974609375,205.95108032226562,256.5603332519531,141.8578338623047,49.680667877197266,58.62983703613281,40.554046630859375,29.857650756835938
2020-04-17,68.3318099975586,158.57000732421875,63.4257926940918,128.53562927246094,81.24213409423828,169.65333557128906,7.279459476470947,106.45036315917969,207.9212646484375,263.4914855957031,139.95631408691406,50.259334564208984,60.481422424316406,40.489688873291016,32.96162033081055
2020-04-20,66.91348266601562,159.6999969482422,62.54059982299805,128.23973083496094,78.28026580810547,166.29063415527344,7.148223400115967,102.95865631103516,205.4585723876953,258.8491516113281,141.08218383789062,49.75733184814453,58.23252868652344,39.79402542114258,31.40581703186035
2020-04-21,64.84513854980469,158.61000061035156,60.11118698120117,126.5571517944336,76.00978088378906,159.41329956054688,6.711435794830322,102.17322540283203,197.8772430419922,250.9897003173828,142.85861206054688,45.781333923339844,57.17564392089844,39.597896575927734,31.238033294677734
2020-04-22,66.71292114257812,161.72999572753906,62.40473175048828,129.3557891845703,76.2573013305664,164.82777404785156,7.1258111000061035,101.93419647216797,203.74911499023438,256.5603332519531,141.3990936279297,48.807334899902344,58.04977798461914,40.3272705078125,32.13033676147461
2020-04-23,66.45437622070312,163.33999633789062,63.03749465942383,131.4864501953125,76.30000305175781,162.83302307128906,7.0725202560424805,102.61397552490234,203.31451416015625,256.5418701171875,142.14981079101562,47.04199981689453,57.565032958984375,39.38949966430664,33.13703155517578
2020-04-24,68.3729019165039,162.63999938964844,63.30677032470703,130.93690490722656,77.42669677734375,165.80624389648438,7.211474418640137,102.08114624023438,206.5208740234375,260.1177062988281,142.48338317871094,48.34333419799805,57.81135940551758,39.66837692260742,33.35056686401367
2020-04-27,68.42120361328125,161.55999755859375,63.02212142944336,130.45492553710938,80.76412200927734,165.3312530517578,7.397993087768555,100.9381332397461,208.18203735351562,263.86834716796875,139.83120727539062,53.25,59.790061950683594,39.31901168823242,33.51072311401367
2020-04-28,67.3121337890625,160.83999633789062,61.124305725097656,128.00294494628906,81.33600616455078,161.3036346435547,7.255550861358643,100.45684814453125,204.26095581054688,262.6548767089844,141.4407958984375,51.27466583251953,60.282752990722656,39.227073669433594,34.2962532043457
2020-04-29,69.52301788330078,161.72999572753906,66.55889892578125,127.03060150146484,83.52967834472656,168.54196166992188,7.432359218597412,100.62015533447266,211.5042266845703,269.5307922363281,140.70687866210938,53.367332458496094,61.18864822387695,37.87862777709961,36.19523620605469
