Date,AAPL,MSFT,NVDA,SPY,TSLA
2019-02-19,40.76751708984375,100.97844696044922,3.8832082748413086,249.1994171142578,20.375999450683594
2019-02-20,41.02985763549805,100.45343780517578,3.930558681488037,249.70162963867188,20.17066764831543
2019-02-21,40.79851531982422,102.57220458984375,3.861640691757202,248.81365966796875,19.415332794189453
2019-02-22,41.25405502319336,104.03468322753906,3.9464244842529297,250.35633850097656,19.6473331451416
2019-02-25,41.55457305908203,104.61595153808594,3.9340295791625977,250.69715881347656,19.917999267578125
2019-02-26,41.57843017578125,105.33780670166016,3.8946125507354736,250.51771545410156,19.857332229614258
2019-02-27,41.70723342895508,105.1596908569336,3.8527169227600098,250.4100341796875,20.982667922973633
2019-02-28,41.2969856262207,105.0284423828125,3.828148365020752,249.94374084472656,21.325332641601562
2019-03-01,41.73107147216797,105.49718475341797,3.882495880126953,251.5044403076172,19.652666091918945
2019-03-04,41.940948486328125,105.24407196044922,3.8906850814819336,250.58956909179688,19.02400016784668
2019-03-05,41.86463165283203,104.71905517578125,3.884232759475708,250.2487030029297,18.43600082397461
2019-03-06,41.623741149902344,104.7659683227539,3.773303747177124,248.73292541503906,18.416000366210938
2019-03-07,41.1419563293457,103.49093627929688,3.704066514968872,246.6521759033203,18.439332962036133
2019-03-08,41.239749908447266,103.60344696044922,3.738313674926758,246.158935546875,18.94266700744629
2019-03-11,42.66838836669922,105.7784652709961,3.9988834857940674,249.72853088378906,19.39466667175293
2019-03-12,43.14778137207031,106.51905822753906,4.033130645751953,250.6702117919922,18.890666961669922
2019-03-13,43.33859634399414,107.34407806396484,4.184510707855225,252.3295135498047,19.263999938964844
2019-03-14,43.82036209106445,107.428466796875,4.108572483062744,252.16795349121094,19.33066749572754
2019-03-15,44.390380859375,108.66595458984375,4.214040279388428,253.41387939453125,18.36199951171875
2019-03-18,44.84354019165039,110.22220611572266,4.192699909210205,254.33273315429688,17.965999603271484
2019-03-19,44.4881706237793,110.29719543457031,4.3604559898376465,254.39578247070312,17.83133316040039
2019-03-20,44.87693786621094,110.17533874511719,4.327946662902832,253.6300811767578,18.239999771118164
2019-03-21,46.52976608276367,112.70660400390625,4.56469202041626,256.49481201171875,18.26799964904785
2019-03-22,45.56621551513672,109.73470306396484,4.404877662658691,251.55813598632812,17.635332107543945
2019-03-25,45.0152587890625,110.30660247802734,4.312559604644775,251.3690185546875,17.3613338470459
2019-03-26,44.55018615722656,110.54096984863281,4.389244079589844,253.24273681640625,17.851333618164062
2019-03-27,44.950870513916016,109.47219848632812,4.380060195922852,251.91847229003906,18.32200050354004
2019-03-28,45.010501861572266,109.62222290039062,4.398673057556152,252.873291015625,18.57466697692871
2019-03-29,45.30386734008789,110.56909942626953,4.455997467041016,254.46786499023438,18.657333374023438
2019-04-01,45.611534118652344,111.58158874511719,4.523499011993408,257.4856262207031,19.278667449951172
2019-04-02,46.27457046508789,111.74097442626953,4.541365623474121,257.6117858886719,19.058666229248047
2019-04-03,46.59178161621094,112.47222137451172,4.680832862854004,258.0171813964844,19.45400047302246
2019-04-04,46.67286682128906,111.9003677368164,4.671899795532227,258.7016906738281,17.851999282836914
2019-04-05,46.98531723022461,112.39723205566406,4.738655090332031,259.9539794921875,18.33066749572754
2019-04-08,47.724674224853516,112.43473052978516,4.759500980377197,260.1520690917969,18.213333129882812
2019-04-09,47.58157730102539,111.82534790039062,4.696715354919434,258.8188781738281,18.15399932861328
2019-04-10,47.848697662353516,112.6784896850586,4.76719331741333,259.7016906738281,18.40399932861328
2019-04-11,47.45040512084961,112.80970764160156,4.753296852111816,259.629638671875,17.89466667175293
2019-04-12,47.431312561035156,113.39097595214844,4.715324878692627,261.3861999511719,17.84666633605957
2019-04-15,47.517173767089844,113.48470306396484,4.583553314208984,261.215087890625,17.7586669921875
2019-04-16,47.521949768066406,113.22224426269531,4.67065954208374,261.3861999511719,18.224000930786133
2019-04-17,48.44734573364258,114.15973663330078,4.647826671600342,260.74664306640625,18.082000732421875
2019-04-18,48.62144470214844,115.65974426269531,4.623260021209717,261.26019287109375,18.21733283996582
2019-04-22,48.78125,116.02536010742188,4.67711067199707,261.4853820800781,17.516666412353516
2019-04-23,49.48483657836914,117.600341796875,4.731706619262695,263.8365478515625,17.593332290649414
2019-04-24,49.40851593017578,117.1972427368164,4.744113445281982,263.2510070800781,17.243999481201172
2019-04-25,48.96012496948242,121.07850646972656,4.638397693634033,263.0888366699219,16.5086669921875
2019-04-26,48.72639465332031,121.77226257324219,4.419518947601318,264.3139343261719,15.675999641418457
2019-04-29,48.80033493041992,121.65974426269531,4.450290203094482,264.7283020019531,16.097999572753906
2019-04-30,47.860618591308594,122.43785858154297,4.491734027862549,264.8634948730469,15.912667274475098
2019-05-01,50.209903717041016,119.88787078857422,4.478580951690674,262.8725891113281,15.600666999816895
2019-05-02,49.883140563964844,118.32222747802734,4.54608154296875,262.30511474609375,16.273332595825195
2019-05-03,50.503257751464844,120.84413146972656,4.5416154861450195,264.8724670410156,17.00200080871582
2019-05-06,49.72333526611328,120.14099884033203,4.463195323944092,263.78240966796875,17.022666931152344
2019-05-07,48.38294982910156,117.67534637451172,4.295933723449707,259.3773193359375,16.470666885375977
2019-05-08,48.392478942871094,117.6659927368164,4.31603479385376,259.0171203613281,16.32266616821289
2019-05-09,47.87253952026367,117.6565933227539,4.2234697341918945,258.2333679199219,16.131999969482422
2019-05-10,47.2093505859375,119.18475341796875,4.189472198486328,259.530517578125,15.968000411987305
2019-05-13,44.46556854248047,115.64100646972656,3.93212890625,253.00851440429688,15.133999824523926
2019-05-14,45.169471740722656,116.93473815917969,4.021218776702881,255.29664611816406,15.487333297729492
2019-05-15,45.71055603027344,118.58145141601562,3.9601707458496094,256.7919616699219,15.463333129882812
2019-05-16,45.50944519042969,121.31965637207031,3.9753081798553467,259.170166015625,15.222000122070312
2019-05-17,45.25086975097656,120.51043701171875,3.8844809532165527,257.49456787109375,14.0686674118042
2019-05-20,43.83589553833008,118.76962280273438,3.7658588886260986,255.7920379638672,13.690667152404785
2019-05-21,44.676265716552734,119.40950775146484,3.848001003265381,258.09820556640625,13.67199993133545
2019-05-22,43.76166915893555,120.134033203125,3.777026891708374,257.3054504394531,12.84866714477539
2019-05-23,43.01466751098633,118.73200225830078,3.655924081802368,254.16156005859375,13.03266716003418
2019-05-24,42.849464416503906,118.7884292602539,3.6020729541778564,254.7380828857422,12.708666801452637
2019-05-28,42.67229080200195,118.71317291259766,3.5569069385528564,252.36886596679688,12.579999923706055
2019-05-29,42.46877670288086,117.56519317626953,3.4827070236206055,250.67538452148438,12.657333374023438
2019-05-30,42.689056396484375,118.3085708618164,3.4561219215393066,251.36000061035156,12.54800033569336
2019-05-31,41.91571807861328,116.37956237792969,3.365440607070923,247.97279357910156,12.343999862670898
2019-06-03,41.49193572998047,112.76618194580078,3.3237011432647705,247.34225463867188,11.9313325881958
2019-06-04,43.00988006591797,115.8902587890625,3.5527679920196533,252.71119689941406,12.90666675567627
2019-06-05,43.704193115234375,118.40265655517578,3.510035276412964,254.90016174316406,13.105999946594238
2019-06-06,44.34585189819336,120.27519989013672,3.5721471309661865,256.5577392578125,13.729999542236328
2019-06-07,45.52619934082031,123.64390563964844,3.614879608154297,259.12518310546875,13.633333206176758
2019-06-10,46.108009338378906,124.77301025390625,3.6876745223999023,260.3143005371094,14.192000389099121
2019-06-11,46.64191436767578,124.30256652832031,3.7453134059906006,260.2511291503906,14.473333358764648
2019-06-12,46.49348449707031,123.72859191894531,3.6322708129882812,259.79180908203125,13.950667381286621
2019-06-13,46.48390579223633,124.50959014892578,3.6834514141082764,260.8638610839844,14.260666847229004
2019-06-14,46.14630889892578,124.6318588256836,3.5935139656066895,260.5755615234375,14.32800006866455
2019-06-17,46.421653747558594,125.00828552246094,3.6032021045684814,260.6745910644531,15.001999855041504
2019-06-18,47.51341247558594,127.18190002441406,3.798232316970825,263.4041442871094,14.982666969299316
2019-06-19,47.374549865722656,127.68064880371094,3.8041956424713135,263.99871826171875,15.095333099365234
2019-06-20,47.75523376464844,128.86630249023438,3.828542709350586,266.52105712890625,14.641332626342773
2019-06-21,47.59242630004883,128.8850860595703,3.7704060077667236,266.13360595703125,14.790666580200195
2019-06-24,47.54454040527344,129.6472625732422,3.79276704788208,265.8077087402344,14.909333229064941
2019-06-25,46.82388687133789,125.55403137207031,3.7634496688842773,263.2007141113281,14.650667190551758
2019-06-26,47.83664321899414,126.02452850341797,3.956740617752075,262.9381103515625,14.618000030517578
2019-06-27,47.822269439697266,126.23155212402344,4.05537223815918,263.87054443359375,14.855999946594238
2019-06-28,47.38652420043945,126.05279541015625,4.0802178382873535,265.22833251953125,14.897333145141602
2019-07-01,48.25563049316406,127.67125701904297,4.128415584564209,267.63629150390625,15.14466667175293
2019-07-02,48.538143157958984,128.51815795898438,4.030527114868164,268.333251953125,14.970000267028809
2019-07-03,48.94037628173828,129.34613037109375,4.0434489250183105,270.4786682128906,15.65999984741211
2019-07-05,48.89728546142578,128.96978759765625,3.980839729309082,270.17083740234375,15.539999961853027
2019-07-08,47.88930892944336,128.87570190429688,3.9058096408843994,268.686279296875,15.355999946594238
2019-07-09,48.1814079284668,128.40524291992188,3.9082930088043213,269.0212707519531,15.337332725524902
